Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
BF415514,NA, ,1389803_at,-1.49,0.0007,683.3,1015.6,641
BF396849,NA, ,1380041_at,-1.49,0.0013,245.3,366,641
BI301147,NA, ,1396263_at,1.49,0.0043,728.6,488.1,641
AW529939,NA, ,1392354_at,-1.49,0.0272,409.2,610.3,641
AI406412,NA, ,1376764_at,-1.49,0.0008,1509.9,2245.5,641
AW525506,NA, ,1379038_at,-1.49,0.0002,179.6,267.3,641
BF388507,NA, ,1390544_at,-1.49,7.60E-05,682.5,1020,641
LOC102553140,102553140, ,1384557_at,1.49,0.0118,447.1,299.2,641
Adcyap1,24166,adenylate cyclase activating polypeptide 1,1394908_at,-1.49,0.0014,192.1,286.4,641
Asic2,25364,acid-sensing (proton-gated) ion channel 2,1368465_at,-1.49,0.0035,365.3,543.8,641
Hpca,29177,hippocalcin,1387387_at,-1.49,0.0148,12375.3,18469.2,641
Syn2,29179,synapsin II,1370431_at,1.49,0.0237,16840.4,11326.1,641
Ptpn5,29644,"protein tyrosine phosphatase, non-receptor type 5",1368421_at,1.49,0.0048,5160.3,3462.3,641
Kitlg,60427,KIT ligand,1388856_at,-1.49,0.0228,2859.6,4252.4,641
Plk2,83722,polo-like kinase 2,1368106_at,1.49,0.0044,7263.5,4870,641
Atf5,282840,activating transcription factor 5,1372601_at,-1.49,0.0019,1593.5,2376.3,641
Sstr1,25033,somatostatin receptor 1,1369770_at,-1.48,0.0244,756.9,1117.6,666
St6gal1,25197,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1",1370907_at,1.48,0.035,1263.5,853.2,666
Anxa1,25380,annexin A1,1367614_at,1.48,0.0218,391.4,264,666
Lin7b,60377,lin-7 homolog b (C. elegans),1370078_at,-1.48,0.0054,4469.8,6628.4,666
Gde1,60418,glycerophosphodiester phosphodiesterase 1,1398296_at,1.48,0.0311,17275.7,11679.1,666
Akap6,64553,A kinase (PRKA) anchor protein 6,1397867_at,1.48,0.0013,563.7,380.2,666
Cyba,79129,"cytochrome b-245, alpha polypeptide",1370219_at,1.48,2.50E-05,642.9,434.3,666
Tgfb2,81809,"transforming growth factor, beta 2",1387172_a_at,-1.48,0.0015,1317.8,1950.5,666
Ccnf,117524,cyclin F,1382370_at,1.48,1.10E-05,623.3,419.9,666
Man1a1,294410,"mannosidase, alpha, class 1A, member 1",1371988_at,1.48,0.0285,378.9,256.1,666
Tnnc2,296369,troponin C type 2 (fast),1372195_at,-1.48,0.0025,162,239.5,666
Dguok,297389,deoxyguanosine kinase,1379435_at,-1.48,0.0289,123.9,183.8,666
Ckap2,306575,cytoskeleton associated protein 2,1384068_at,1.48,0.0002,319.2,215.9,666
Kifc3,307644,kinesin family member C3,1389374_at,-1.48,3.60E-05,1510.9,2241.3,666
Gpr68,314386,G protein-coupled receptor 68,1382319_at,-1.48,0.0004,4658.5,6907,666
Eepd1,315500,endonuclease/exonuclease/phosphatase family domain containing 1,1392739_a_at,-1.48,0.0015,3207.4,4735.7,666
Dusp15,362238,dual specificity phosphatase 15,1385912_at,-1.48,0.0021,529.2,783,666
Sync,362606,syncoilin,1378233_at,-1.48,0.0011,740.4,1098.4,666
Phldb2,685611,"pleckstrin homology-like domain, family B, member 2",1378094_at,-1.48,0.0071,177.9,264.1,666
Vstm2a,689106,V-set and transmembrane domain containing 2A,1383268_at,1.48,0.0004,3488.5,2357.4,666
BE113158,NA, ,1373283_at,1.48,3.40E-05,1405.6,949.2,666
AA891650,NA, ,1394061_at,-1.48,0.002,526.1,777.7,666
AW528265,NA, ,1398130_at,-1.48,0.0302,409.4,604.7,666
AI137472,NA, ,1397542_at,-1.48,0.0002,2137.8,3171.5,666
BE107812,NA, ,1393492_at,-1.48,4.30E-05,2356.3,3485.3,666
BF397839,NA, ,1394664_at,-1.48,0.0004,245.1,361.8,666
BF405991,NA, ,1396746_at,-1.48,0.0047,325.1,481.6,666
BF416276,NA, ,1376531_at,-1.48,0.0014,621.5,920.2,666
BF393053,NA, ,1380736_at,-1.48,0.0067,194.5,288.2,666
Pvt1,100910797,uncharacterized LOC100910797,1384449_at,-1.48,9.50E-05,1567.3,2317.3,666
AW523015,NA, ,1394446_at,-1.47,0.0123,2355.8,3472.3,696
BF392065,NA, ,1377574_at,-1.47,0.0002,604.4,888.6,696
BF416112,NA, ,1397738_at,-1.47,0.0004,166.4,244.6,696
Rbp4,25703,"retinol binding protein 4, plasma",1371762_at,1.47,0.037,3123.5,2131.7,696
Kcnip2,56817,Kv channel-interacting protein 2,1373987_at,-1.47,0.0256,11552.3,17038.3,696
Emp3,81505,epithelial membrane protein 3,1367914_at,1.47,1.50E-05,534.1,362.6,696
Nat8f3,113892,camello-like 3,1370991_at,-1.47,0.0041,185.6,272.2,696
Tmem158,117582,transmembrane protein 158,1389821_at,1.47,0.0116,215.3,146.6,696
Nectin1,192183,poliovirus receptor-related 1,1389585_at,-1.47,0.0042,1607.8,2358.8,696
Epdr1,291180,ependymin related protein 1 (zebrafish),1375855_at,-1.47,0.0016,4615.1,6795.2,696
Htatip2,292935,HIV-1 Tat interactive protein 2,1390208_at,1.47,7.60E-06,992.1,674.2,696
Ralyl,294883,RALY RNA binding protein-like,1380852_at,-1.47,0.0021,10068.7,14782.1,696
Plag1,297804,pleiomorphic adenoma gene 1,1374259_at,-1.47,0.0012,1566.5,2310.5,696
Slc35f2,300713,"solute carrier family 35, member F2",1398660_at,-1.47,0.0061,572.7,843.3,696
Slc16a6,303772,"solute carrier family 16, member 6 (monocarboxylic acid transporter 7)",1376267_at,-1.47,0.0069,201.7,297.5,696
Antxr2,305633,similar to Antxr2 protein,1389017_at,-1.47,0.0039,409.5,602.5,696
Amotl1,315430,angiomotin-like 1,1371627_at,-1.47,0.0031,7953.6,11654.7,696
RGD1309079,315891,similar to Ab2-095,1389199_at,-1.47,0.011,6473.3,9527.2,696
Atp11c,317599,"ATPase, class VI, type 11C",1391211_at,-1.47,0.0014,2330.5,3419.4,696
Rnasel,359726,"ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)",1377116_at,1.47,0.0056,1671.8,1134.5,696
BI274487,NA, ,1388312_at,1.47,0.0103,2350.2,1595.9,696
BF409060,NA, ,1378171_at,-1.47,0.0016,4386.3,6458.1,696
Epm2aip1,316021,EPM2A (laforin) interacting protein 1,1389100_at,-1.46,0.0063,729.3,1063.8,718
Rcn3,494125,"reticulocalbin 3, EF-hand calcium binding domain",1373128_at,-1.46,0.0037,2697,3933.1,718
Cntnap2,500105,contactin associated protein-like 2,1393410_at,-1.46,9.20E-05,952.1,1392.9,718
BM390238,NA, ,1393135_at,-1.46,0.0062,216.1,315.5,718
BF386153,NA, ,1381621_at,-1.46,0.0002,5678.3,8305.3,718
BF400595,NA, ,1397025_at,-1.46,0.0134,580.9,847.6,718
AI555166,NA, ,1381482_at,1.46,0.0361,1456.9,996.5,718
AI236027,NA, ,1374307_at,-1.46,0.0013,14173.1,20694.3,718
BF386160,NA, ,1381284_at,-1.46,0.0207,627.6,918.5,718
BM383684,NA, ,1393206_at,1.46,6.20E-05,141.4,96.6,718
BF391517,NA, ,1376477_at,-1.46,2.10E-05,507.1,742.4,718
BF543379,NA, ,1393425_at,1.46,0.0023,1534.6,1049.2,718
AW526714,NA, ,1394916_at,-1.46,0.0002,2611.7,3801.1,718
BF406132,NA, ,1396945_at,-1.46,0.0011,770.6,1124.4,718
AA963085,NA, ,1377309_at,-1.46,0.0031,1196.1,1745.7,718
BE097085,NA, ,1382207_at,-1.46,0.0489,16192.2,23604.5,718
Tmod1,25566,tropomodulin 1,1387370_at,1.46,0.0034,799.1,548.2,718
Grid1,79219,"glutamate receptor, ionotropic, delta 1",1392248_at,-1.46,0.001,1019.5,1491.9,718
Klhl6,287974,kelch-like 6 (Drosophila),1377153_a_at,1.46,0.0065,242.9,166.5,718
Cdkn3,289993,cyclin-dependent kinase inhibitor 3,1372685_at,1.46,0.0058,439.1,300.8,718
Ext1,299907,exostosin 1,1373393_at,-1.46,0.0046,520.6,758.7,718
F8,302470,"coagulation factor VIII, procoagulant component",1395015_at,-1.46,0.0155,559,817.2,718
Camk2a,25400,calcium/calmodulin-dependent protein kinase II alpha,1381637_at,-1.45,0.0341,3551.9,5161,740
Ctsh,25425,cathepsin H,1386899_at,1.45,0.0016,1724.5,1185.6,740
Parva,57341,"parvin, alpha",1371588_at,-1.45,0.0037,545.6,788.6,740
Kcnk1,59324,"potassium channel, subfamily K, member 1",1369500_at,1.45,0.0107,588,405.3,740
Pafah1b3,114113,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 3",1369963_at,1.45,0.026,1256,863.4,740
Opcml,116597,opioid binding protein/cell adhesion molecule-like,1369417_a_at,1.45,0.0167,1399.6,968.4,740
Atxn10,170821,ataxin 10,1398874_at,1.45,0.0345,21604.2,14897.1,740
Magi3,245903,"membrane associated guanylate kinase, WW and PDZ domain containing 3",1398866_at,1.45,0.0009,3388.1,2341.6,740
Lzts1,266711,"leucine zipper, putative tumor suppressor 1",1377171_at,1.45,0.0106,3392.6,2343,740
Pbk,290326,PDZ binding kinase,1397341_at,1.45,0.0011,324.7,224.6,740
Ggact,290500,gamma-glutamylamine cyclotransferase,1382945_at,-1.45,0.0303,7386.9,10702.6,740
Stard4,291699,StAR-related lipid transfer (START) domain containing 4,1392516_a_at,-1.45,0.0002,673.7,975.4,740
Gca,295647,grancalcin,1390557_at,-1.45,0.0027,899.6,1302.5,740
Rbm5,300996,RNA binding motif protein 5,1398595_at,-1.45,0.0119,1098.9,1591.7,740
Kat2b,301164,p300/CBP-associated factor,1375205_at,1.45,0.0169,1770.3,1222.2,740
Mex3b,308790,mex3 homolog B (C. elegans),1380682_at,1.45,0.0144,8300.2,5707.6,740
Ano3,311287,anoctamin 3,1394412_at,-1.45,0.002,1459.7,2119.5,740
Atg7,312647,autophagy related 7,1374128_at,-1.45,0.0003,1199.8,1741.2,740
Sned1,316638,"sushi, nidogen and EGF-like domains 1",1380250_at,-1.45,0.0423,426.5,619.3,740
Phkb,361377,"phosphorylase kinase, beta",1389180_at,-1.45,0.0029,370.5,535.6,740
Ltb,361795,"lymphotoxin beta (TNF superfamily, member 3)",1379499_at,-1.45,0.0011,249.6,362,740
Atp8b2,685152,"ATPase, class I, type 8B, member 2",1390250_x_at,-1.45,0.0007,2454.5,3552.5,740
Ackr1,689105,"Duffy blood group, chemokine receptor",1393250_at,1.45,0.0168,1897.1,1312.4,740
Eri2,691484,ERI1 exoribonuclease family member 2,1381252_at,-1.45,0.0006,1558.8,2265.9,740
BE100812,NA, ,1379375_at,-1.45,0.0269,1751.5,2543.8,740
BF416420,NA, ,1380776_at,-1.45,6.70E-05,1632,2370.1,740
AI058455,NA, ,1383930_at,-1.45,0.0009,1581.4,2286.3,740
BG672572,NA, ,1376808_at,1.45,0.0231,3030.1,2091.6,740
AI146247,NA, ,1393607_at,1.45,0.0146,1412.7,973.7,740
AI235414,NA, ,1377029_at,-1.45,0.0474,513.3,744.3,740
AI454052,NA, ,1381470_at,-1.45,0.012,7420.7,10750.5,740
AI029492,NA, ,1393478_at,-1.45,1.40E-05,6423.1,9308.2,740
BE120205,NA, ,1392359_at,-1.45,0.019,156.2,225.8,740
BF391007,NA, ,1378159_at,-1.45,0.0137,817.2,1182.5,740
BM386897,NA, ,1393781_at,-1.45,2.90E-05,130.4,189,740
BI289884,NA, ,1383633_at,-1.45,0.0005,4239.9,6127.9,740
BF418338,NA, ,1391378_at,-1.44,0.007,280.6,405.2,776
AI168981,NA, ,1390866_at,1.44,0.0027,211.4,147.1,776
BI295896,NA, ,1373468_at,1.44,1.90E-07,1146.8,797.4,776
BF564309,NA, ,1386529_at,1.44,0.0156,2522.6,1746.8,776
C06786,NA, ,1385161_x_at,-1.44,0.0018,920.5,1325.2,776
B2m,24223,beta-2 microglobulin,1367595_s_at,1.44,0.0172,6167,4284.2,776
Bdnf,24225,brain-derived neurotrophic factor,1368677_at,1.44,0.0035,6106,4254.2,776
Acan,58968,aggrecan,1368836_a_at,1.44,7.80E-05,931.9,649.4,776
Ppp1r1a,58977,"protein phosphatase 1, regulatory (inhibitor) subunit 1A",1383191_at,1.44,0.0009,2604.1,1806.7,776
Suox,81805,sulfite oxidase,1370036_at,1.44,0.0071,1793.1,1244.9,776
Lrpap1,116565,low density lipoprotein receptor-related protein associated protein 1,1388148_a_at,1.44,0.0306,9285.2,6457.8,776
Pycard,282817,PYD and CARD domain containing,1389873_at,1.44,0.0002,331.4,229.9,776
Colgalt2,289081,glycosyltransferase 25 domain containing 2,1379899_at,1.44,0.0002,196.9,136.6,776
Eif4e3,297481,eukaryotic translation initiation factor 4E family member 3,1391935_at,-1.44,0.0005,3465.5,4994.8,776
Pcdh20,306081,protocadherin 20,1391208_at,-1.44,0.001,6731.5,9677.9,776
Zfp385b,311137,zinc finger protein 385B,1390554_at,-1.44,2.90E-05,117.7,169.2,776
Galnt14,313878,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14),1396238_at,-1.44,0.005,655.2,942,776
Fli1,315532,Friend leukemia virus integration 1,1393249_at,1.44,0.0189,186.3,129.3,776
RGD1565844,317486,similar to RIKEN cDNA 1700045I19,1384448_at,-1.44,0.0031,409.5,588.4,776
Coq8a,360887,aarF domain containing kinase 3,1372536_at,-1.44,0.0012,1593.7,2300.3,776
Ablim2,360958,"actin binding LIM protein family, member 2",1380330_at,-1.44,0.0022,2053.2,2955.9,776
Arhgdib,362456,"Rho, GDP dissociation inhibitor (GDI) beta",1373881_at,1.44,1.50E-05,1089.1,758.9,776
Arhgap9,362893,Rho GTPase activating protein 9,1382026_at,1.44,0.0007,172.2,119.8,776
Greb1l,498819,growth regulation by estrogen in breast cancer-like,1392221_at,-1.44,0.0007,1491.6,2142,776
Acot4,681337,acyl-CoA thioesterase 4,1377037_at,-1.44,0.0001,233.7,337.3,776
Mgarp,689931,mitochondria-localized glutamic acid-rich protein,1393627_at,-1.44,5.10E-05,204.2,294.2,776
Gngt2,690825,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",1379295_at,1.44,0.0012,310.4,215.2,776
BF284262,NA, ,1372097_at,1.44,0.0006,210.9,146.3,776
BE109587,NA, ,1373092_at,-1.44,0.0019,1712.4,2473.9,776
Zfp521,307579,zinc finger protein 521,1393944_at,1.43,0.0002,2220.2,1556.8,805
Nusap1,311336,nucleolar and spindle associated protein 1,1384280_at,1.43,0.0016,422.2,294.3,805
Lrrc23,312707,leucine rich repeat containing 23,1398465_at,-1.43,7.70E-05,864.2,1235.3,805
Ubash3b,315579,"ubiquitin associated and SH3 domain containing, B",1379284_at,-1.43,0.0006,1788.8,2560.9,805
Pck2,361042,phosphoenolpyruvate carboxykinase 2 (mitochondrial),1376247_at,-1.43,0.0024,398,567.9,805
Etv1,362733,ets variant 1,1391241_at,-1.43,1.00E-04,2276.8,3258.9,805
Tmem100,497979,transmembrane protein 100,1389467_at,1.43,0.0015,412.3,289.1,805
Cbln1,498922,cerebellin 1 precursor,1390869_at,1.43,0.0298,295.3,205.8,805
Zpr1,500989,zinc finger protein 259,1383626_at,1.43,0.0052,2464.1,1728.7,805
Cmtm7,501065,CKLF-like MARVEL transmembrane domain containing 7,1372478_at,1.43,8.90E-05,634.3,443.5,805
Golm1,680692,golgi membrane protein 1,1373754_at,1.43,0.0003,833.5,581,805
LOC680835,680835,similar to cullin 7,1388464_at,1.43,2.00E-05,2327.2,1632.1,805
Prdm5,689788,PR domain containing 5,1384311_at,-1.43,0.0003,1395.5,1992.2,805
BF282414,NA, ,1389246_at,1.43,1.10E-05,1006.4,702.4,805
BF402462,NA, ,1372807_at,-1.43,0.0281,5697.1,8157.3,805
BF403703,NA, ,1376178_at,-1.43,0.0001,437.3,625.3,805
AA818480,NA, ,1382381_at,1.43,0.0107,17872,12521.5,805
BE103242,NA, ,1377999_at,1.43,0.0004,1413.1,989.5,805
AI639162,NA, ,1391428_at,-1.43,0.0044,204,292.5,805
BE107074,NA, ,1378624_at,-1.43,0.0204,744.9,1064.4,805
BE110348,NA, ,1397850_at,1.43,0.0011,2161.5,1511.7,805
AI011448,NA, ,1398362_at,-1.43,0.0029,3358.8,4793.5,805
BE113106,NA, ,1384696_at,-1.43,0.0062,391,560.9,805
BE115752,NA, ,1381719_at,-1.43,0.0465,381.2,545.4,805
BF395080,NA, ,1377015_at,1.43,0.0036,728.6,508.1,805
AW524359,NA, ,1394493_at,-1.43,0.0138,455,651.4,805
BF568017,NA, ,1395541_at,1.43,0.0136,1007.4,706.7,805
AA964943,NA, ,1382980_at,-1.43,0.0022,1261.8,1807.2,805
BE104533,NA, ,1394454_at,-1.43,5.10E-06,522.8,748.5,805
BI294382,NA, ,1381333_at,1.43,0.0077,413.6,289.1,805
Rn.149392,NA, ,1375079_at,-1.43,0.0084,179.3,256.9,805
BF391308,NA, ,1385355_at,1.43,0.0064,488.9,342.2,805
LOC100360380,100360380,zinc finger protein 457-like,1383639_at,-1.43,1.60E-06,1252,1790.5,805
LOC100912084,100912084,cAMP-dependent protein kinase catalytic subunit PRKX-like,1377736_at,-1.43,0.0003,7091.6,10124.2,805
LOC102551114,102551114, ,1384922_at,-1.43,0.0107,2321.5,3310.8,805
Rarb,24706,"retinoic acid receptor, beta",1376755_at,-1.43,0.0014,232.5,332.4,805
Npy5r,25340,neuropeptide Y receptor Y5,1387497_at,-1.43,0.0002,1867.7,2666.7,805
Tnfrsf1a,25625,"tumor necrosis factor receptor superfamily, member 1a",1367715_at,1.43,0.0005,516.4,360.5,805
Rasa3,29372,RAS p21 protein activator 3,1370942_at,-1.43,0.0008,964.5,1377.4,805
Trpc4,84494,"transient receptor potential cation channel, subfamily C, member 4",1369164_a_at,-1.43,0.0038,1192.4,1701.8,805
Tjp2,115769,tight junction protein 2,1370940_at,1.43,3.10E-07,2570.8,1799.1,805
Pcsk5,116548,proprotein convertase subtilisin/kexin type 5,1392773_at,-1.43,0.0014,468.4,671.7,805
Selenbp1,140927,selenium binding protein 1,1367673_at,-1.43,0.0001,435.8,621.5,805
Slc2a13,171147,"solute carrier family 2 (facilitated glucose transporter), member 13",1369680_at,-1.43,0.0023,6775.4,9677.9,805
Kcnq5,259273,"potassium voltage-gated channel, KQT-like subfamily, member 5",1379510_at,-1.43,0.0003,3173.6,4527.6,805
Pkp2,287925,plakophilin 2,1388539_at,-1.43,0.0013,2410.4,3437.1,805
Cdt1,292071,chromatin licensing and DNA replication factor 1,1377967_at,1.43,0.0004,243.9,170.4,805
Tpd52,294900,tumor protein D52,1391880_at,-1.43,8.50E-05,9350.3,13361.3,805
Arhgap11a,296060,Rho GTPase activating protein 11A,1394419_at,1.43,0.0027,603.9,423.2,805
Vav2,296603,vav 2 guanine nucleotide exchange factor,1393349_x_at,-1.43,0.007,411.5,589.9,805
Capg,297339,"capping protein (actin filament), gelsolin-like",1388460_at,1.43,0.0026,228.2,159.8,805
Ano4,299714,anoctamin 4,1392646_at,1.43,0.0299,267.4,187.5,805
C2,24231,complement component 2,1383391_a_at,1.42,0.0013,329.6,231.8,857
Pla2g4a,24653,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",1387566_at,1.42,0.0012,454.1,319.2,857
Anxa3,25291,annexin A3,1367975_at,1.42,0.0004,149.2,104.8,857
Ros1,25346,"c-ros oncogene 1 , receptor tyrosine kinase",1368432_a_at,-1.42,1.40E-05,233.8,332.4,857
Cryab,25420,"crystallin, alpha B",1370026_at,1.42,0.0195,1663,1170.2,857
Sparcl1,25434,SPARC-like 1 (hevin),1386865_at,-1.42,0.0272,32619.1,46159.5,857
Tle4,25565,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",1376869_at,1.42,0.0155,6371.2,4471.5,857
Resp18,50561,regulated endocrine-specific protein 18,1367904_at,1.42,0.0337,11017.5,7743.7,857
Cxcr4,60628,chemokine (C-X-C motif) receptor 4,1389244_x_at,1.42,0.0002,484.6,340.1,857
Tfrc,64678,transferrin receptor,1388750_at,-1.42,0.0257,4098.9,5820.6,857
Rwdd3,65026,RWD domain containing 3,1388192_at,-1.42,0.0104,117.7,167.4,857
Cited2,114490,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",1367602_at,1.42,0.0006,7611.9,5351.7,857
Baalc,140720,"brain and acute leukemia, cytoplasmic",1387938_at,1.42,0.0427,9945.6,6996.3,857
Rimbp2,266780,RIMS binding protein 2,1371020_at,1.42,0.0408,5491.2,3866.3,857
Galnt18,293181,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4,1380688_at,-1.42,0.0215,1936.4,2745.9,857
Spc25,295661,"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)",1389668_at,1.42,0.0119,676.7,477,857
Plag1,297804,pleiomorphic adenoma gene 1,1391714_at,-1.42,0.0002,1918,2729.8,857
Slfn13,303378,schlafen family member 13,1379957_at,1.42,0.0001,359.2,253.8,857
Mgat5b,303693,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B",1380731_at,-1.42,0.0005,655.9,933.9,857
Mmp19,304608,matrix metallopeptidase 19,1391095_at,1.42,4.70E-05,244.8,172.9,857
Farp1,306183,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)",1382143_at,-1.42,0.0017,830.1,1177.4,857
Dusp26,306527,dual specificity phosphatase 26 (putative),1372359_at,1.42,4.80E-05,3063,2155.2,857
RGD1304884,307907,similar to RIKEN cDNA 6430548M08,1376583_at,1.42,0.0136,7039.8,4971,857
Ttll7,310982,"tubulin tyrosine ligase-like family, member 7",1394422_at,-1.42,0.0061,5032.5,7125.6,857
Whrn,313255,"deafness, autosomal recessive 31",1372434_at,-1.42,0.0003,1137.6,1616.3,857
Fam43b,313650,"family with sequence similarity 43, member B",1395286_at,1.42,0.0124,1310.6,925.7,857
Mdm1,314859,Mdm1 nuclear protein homolog (mouse),1389485_at,1.42,0.0004,3904.2,2751.5,857
Efnb3,360546,ephrin B3,1383078_at,-1.42,0.0109,12390,17604.9,857
Adam11,360638,ADAM metallopeptidase domain 11,1383418_at,-1.42,0.0146,1604.5,2281.2,857
Ankrd37,361149,ankyrin repeat domain 37,1373685_at,-1.42,1.50E-05,1017.7,1443.4,857
Large1,361368,like-glycosyltransferase,1391993_at,-1.42,0.0368,228.6,324.2,857
Ankrd27,361555,ankyrin repeat domain 27 (VPS9 domain),1378299_at,-1.42,0.0288,3184.6,4518.9,857
Rac2,366957,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",1372404_at,1.42,6.70E-05,383.3,269.7,857
Tcf19,406195,transcription factor 19,1389555_at,1.42,0.0009,327.1,230.9,857
AW918981,NA, ,1395427_at,1.42,0.0173,1604.9,1129.3,857
BE107414,NA, ,1390632_at,-1.42,0.0047,2030.6,2888.2,857
BF400248,NA, ,1379156_at,-1.42,0.0053,398.4,566.1,857
BF402833,NA, ,1378707_at,-1.42,0.0005,257,366.2,857
AI144852,NA, ,1384396_at,-1.42,6.90E-05,851.8,1205.4,857
BM389786,NA, ,1382412_at,-1.42,0.0088,431.2,610.9,857
1382448_at,NA, ,1382448_at,-1.42,0.0029,148.1,210.6,857
1397564_at,NA, ,1397564_at,-1.42,0.0039,293.5,416.5,857
AW527973,NA, ,1380222_at,-1.41,0.0301,2153.6,3034.3,899
AI009808,NA, ,1368885_at,-1.41,0.0136,503.6,708.8,899
AI044784,NA, ,1392675_at,-1.41,0.0007,236.9,333.8,899
BE121207,NA, ,1385737_at,-1.41,0.0014,1289.8,1813,899
AW527714,NA, ,1397954_at,-1.41,0.003,667.9,944.7,899
BF405070,NA, ,1398550_at,-1.41,0.0007,3130.2,4425.5,899
BI282767,NA, ,1375868_at,-1.41,1.60E-05,5432.2,7686.3,899
BF400850,NA, ,1379836_at,-1.41,0.0025,1208.3,1705.3,899
BF409455,NA, ,1396005_at,-1.41,3.20E-06,1398.1,1965.3,899
BF398435,NA, ,1381048_at,-1.41,0.0002,313.5,442.8,899
AA875647,NA, ,1397225_at,-1.41,0.0384,614.4,867.4,899
BF409867,NA, ,1397013_at,-1.41,0.0017,1084.7,1526.4,899
1383195_at,NA, ,1383195_at,-1.41,0.0005,2541.2,3577.7,899
Mpv17l,100362572,"Mpv17 transgene, kidney disease mutant-like (predicted)-like",1377051_at,-1.41,0.0004,1987.6,2811.2,899
Adcyap1,24166,adenylate cyclase activating polypeptide 1,1368892_at,-1.41,0.0014,843.9,1193.3,899
Igf1,24482,insulin-like growth factor 1,1370333_a_at,1.41,0.006,709,501.5,899
Stat3,25125,signal transducer and activator of transcription 3 (acute-phase response factor),1370224_at,1.41,0.0058,2587.5,1837.6,899
Slc7a1,25648,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1",1368391_at,-1.41,0.002,4215.8,5951.5,899
Itgb4,25724,"integrin, beta 4",1368612_at,-1.41,0.0038,695.8,978.7,899
Stk10,29398,serine/threonine kinase 10,1367936_at,-1.41,2.80E-05,453.8,640.2,899
Pdpn,54320,podoplanin,1386913_at,1.41,0.0041,1318.2,934,899
Itga7,81008,"integrin, alpha 7",1370937_a_at,-1.41,0.0254,2055.5,2903.4,899
Nfe2l2,83619,"nuclear factor, erythroid derived 2, like 2",1367826_at,1.41,0.0105,545.9,386.9,899
Cavin3,85332,"protein kinase C, delta binding protein",1367691_at,1.41,0.0002,1910.4,1355.3,899
Dkk3,171548,dickkopf 3 homolog (Xenopus laevis),1370328_at,1.41,0.0006,10878.5,7709.9,899
Il13ra1,252963,"interleukin 13 receptor, alpha 1",1388711_at,1.41,0.0122,258.4,183,899
Dab1,266729,disabled homolog 1 (Drosophila),1384225_at,-1.41,0.0008,9521.9,13411.9,899
Npc2,286898,"Niemann-Pick disease, type C2",1398892_at,1.41,0.0016,6919.5,4915.6,899
Ephx4,289440,epoxide hydrolase 4,1384869_at,1.41,0.0229,5156.3,3644.8,899
Atp8b1,291555,"ATPase, aminophospholipid transporter, class I, type 8B, member 1",1378134_at,-1.41,0.0008,170.4,240.4,899
RT1-S3,294228,"RT1 class Ib, locus S3",1388212_a_at,1.41,0.0266,1466.8,1038,899
Foxp1,297480,forkhead box P1,1373804_at,-1.41,0.0022,1048.5,1483,899
Tmod3,300838,tropomodulin 3,1372500_at,1.41,0.0004,634.7,451.3,899
Cdc42ep4,303653,CDC42 effector protein (Rho GTPase binding) 4,1388730_at,-1.41,0.0089,3207,4521.1,899
Shroom3,305230,shroom family member 3,1392556_at,1.41,0.0037,292.3,207.3,899
Acat2,308100,acetyl-Coenzyme A acetyltransferase 3,1372462_at,-1.41,0.0093,1117,1569.7,899
Fcho2,309129,FCH domain only 2,1384067_at,-1.41,0.0062,366.5,517,899
Kdelc2,315664,KDEL (Lys-Asp-Glu-Leu) containing 2,1374704_at,-1.41,0.0072,364.3,513.7,899
Thsd4,315728,similar to RIKEN cDNA B230114P05,1372708_at,-1.41,0.0036,238.1,334.7,899
Tab3,317546,similar to TAK1-binding protein 3 isoform 1,1377111_at,-1.41,0.0249,376.1,530.7,899
Ksr1,360573,kinase suppressor of ras 1,1380855_at,1.41,0.0307,2789.2,1975.5,899
Gramd1c,360717,GRAM domain containing 1C,1379647_at,-1.41,0.0004,670.3,946.5,899
Slc25a48,361206,"solute carrier family 25, member 48",1389678_at,1.41,1.90E-05,851.7,605,899
Hhipl1,362781,HHIP-like 1,1378086_at,-1.41,1.00E-05,613.4,865.5,899
Fam117a,497983,"family with sequence similarity 117, member A",1376177_at,-1.41,0.0007,299,422.4,899
