Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
Frmd6,257646,FERM domain containing 6,1383222_at,1.98,2.10E-06,1851.7,936.7,173
AI031032,NA, ,1373035_at,1.98,5.80E-09,7545,3806.8,173
AA998104,NA, ,1393777_at,-1.97,0.0098,404.9,797.5,179
RGD1564053,500390,similar to hypothetical protein,1397890_at,-1.97,1.30E-05,875.4,1726.2,179
Cfh,155012,complement factor H,1387029_at,1.97,0.0007,979.8,496.5,179
Ralyl,294883,RALY RNA binding protein-like,1397513_at,-1.97,6.70E-05,483.1,950.3,179
Vav2,296603,vav 2 guanine nucleotide exchange factor,1384169_a_at,-1.97,0.0028,181.1,357.2,179
Ace,24310,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,1370028_at,1.96,0.0005,470.4,240.5,184
Efna5,116683,ephrin A5,1375647_at,1.96,5.10E-06,1513,770.3,184
Lcp1,306071,lymphocyte cytosolic protein 1,1389210_at,1.96,5.10E-05,775.9,395.7,184
Csf1r,307403,colony stimulating factor 1 receptor,1388784_at,1.96,8.50E-07,1324.9,675.8,184
Ss18,361295,"synovial sarcoma translocation, Chromosome 18",1388431_at,1.95,0.0037,22602.7,11571.7,188
BF390904,NA, ,1397422_at,-1.95,5.90E-05,2093.6,4074.9,188
Cd74,25599,"Cd74 molecule, major histocompatibility complex, class II invariant chain",1367679_at,1.95,0.0053,525.8,270.2,188
Cdk1,54237,cyclin-dependent kinase 1,1367776_at,1.95,2.80E-05,256,131.5,188
Crtac1,171438,cartilage acidic protein 1,1391383_at,-1.95,3.50E-06,2304.5,4486,188
Rasgrp1,29434,RAS guanyl releasing protein 1 (calcium and DAG-regulated),1369130_at,1.94,1.90E-05,493.3,254.8,193
P2ry12,64803,"purinergic receptor P2Y, G-protein coupled, 12",1380822_at,1.94,0.0011,1069.7,550.8,193
Crim1,298744,cysteine rich transmembrane BMP regulator 1 (chordin like),1391448_at,-1.94,6.00E-05,3698,7175.1,193
AA945708,NA, ,1377640_at,1.94,0.0004,997.3,514.1,193
BF402603,NA, ,1380940_at,-1.94,0.0125,1163.8,2261.9,193
BE108581,NA, ,1382746_s_at,-1.94,4.90E-06,463.3,898.7,193
BF405151,NA, ,1374934_at,-1.93,2.80E-06,604.9,1169.4,199
Hbb,24440,"hemoglobin, beta",1367553_x_at,-1.93,0.0469,2870.2,5546.2,199
