Symbol,EntrezGene ID,Description,Imported ID,Fold Change,Meta-qvalue,Rank
CASP7,840,"caspase 7, apoptosis-related cysteine peptidase",CASP7,-41.6201,0.0002,73
LRP10,26020,low density lipoprotein receptor-related protein 10,LRP10,-41.6194,0.0002,74
SLC15A2,6565,"solute carrier family 15 (H+/peptide transporter), member 2",SLC15A2,-41.4771,0.0002,75
RAD51C,5889,RAD51 homolog C (S. cerevisiae),RAD51C,41.44,0.0006,76
NPTX2,4885,neuronal pentraxin II,NPTX2,41.41,0.0006,77
PHF3,23469,PHD finger protein 3,PHF3,-41.3571,0.0002,78
CLCC1,23155,chloride channel CLIC-like 1,CLCC1,-41.3431,0.0002,79
KIF3C,3797,kinesin family member 3C,KIF3C,41.32,0.0006,80
ATP6V1A,523,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A",ATP6V1A,41.25,0.0006,81
PXDC1,221749,PX domain containing 1,C6orf145,-41.2444,0.0002,82
SST,6750,somatostatin,SST,41.24,0.0006,83
GPC5,2262,glypican 5,GPC5,-41.1318,0.0002,84
ZC3HAV1,56829,"zinc finger CCCH-type, antiviral 1",ZC3HAV1,-41.0471,0.0003,85
SEC14L1,6397,SEC14-like 1 (S. cerevisiae),SEC14L1,-40.9265,0.0003,86
ITPKB,3707,inositol-trisphosphate 3-kinase B,ITPKB,-40.9191,0.0003,87
ZHX2,22882,zinc fingers and homeoboxes 2,ZHX2,-40.8313,0.0003,88
RGR,5995,retinal G protein coupled receptor,RGR,-40.7685,0.0003,89
IQCK,124152,IQ motif containing K,IQCK,-40.7218,0.0003,90
DUSP3,1845,dual specificity phosphatase 3,DUSP3,40.72,0.0007,91
PPARA,5465,peroxisome proliferator-activated receptor alpha,PPARA,-40.6692,0.0003,92
RBPMS,11030,RNA binding protein with multiple splicing,RBPMS,-40.6417,0.0003,93
CASK,8573,calcium/calmodulin-dependent serine protein kinase (MAGUK family),CASK,-40.6082,0.0003,94
FAM107A,11170,"family with sequence similarity 107, member A",FAM107A,-40.5866,0.0003,95
CNTN1,1272,contactin 1,CNTN1,40.52,0.0008,96
MAOA,4128,monoamine oxidase A,MAOA,-40.4815,0.0003,97
MCL1,4170,myeloid cell leukemia sequence 1 (BCL2-related),MCL1,-40.4226,0.0003,98
STK3,6788,serine/threonine kinase 3,STK3,-40.3999,0.0003,99
TRIOBP,11078,TRIO and F-actin binding protein,TRIOBP,-40.3906,0.0003,100
GATM,2628,glycine amidinotransferase (L-arginine:glycine amidinotransferase),GATM,-40.3189,0.0003,101
ENSA,2029,endosulfine alpha,ENSA,40.29,0.0008,102
GAD1,2571,"glutamate decarboxylase 1 (brain, 67kDa)",GAD1,40.27,0.0008,103
ALDH6A1,4329,"aldehyde dehydrogenase 6 family, member A1",ALDH6A1,-40.2373,0.0003,104
FXYD1,5348,FXYD domain containing ion transport regulator 1,FXYD1,-40.2059,0.0003,105
AGPAT5,55326,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",AGPAT5,-40.1948,0.0001,106
ERN2,10595,endoplasmic reticulum to nucleus signaling 2,ERN2,-40.0994,0.0001,107
NFIA,4774,nuclear factor I/A,NFIA,-40.0982,0.0003,108
CITED1,4435,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1",CITED1,40.07,0.0009,109
TP53BP2,7159,"tumor protein p53 binding protein, 2",TP53BP2,-40.0659,0.0003,110
NPAS3,64067,neuronal PAS domain protein 3,NPAS3,-40.0496,0.0003,111
ACADS,35,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",ACADS,-40.0266,0.0003,112
PKN2,5586,protein kinase N2,PKN2,-39.9942,0.0003,113
PON2,5445,paraoxonase 2,PON2,-39.9289,0.0003,114
ZBTB20,26137,zinc finger and BTB domain containing 20,ZBTB20,-39.887,0.0003,115
TRPS1,7227,trichorhinophalangeal syndrome I,TRPS1,-39.8679,0.0001,116
TIPARP,25976,TCDD-inducible poly(ADP-ribose) polymerase,TIPARP,-39.8463,0.0003,117
KDM6B,23135,lysine (K)-specific demethylase 6B,JMJD3,-39.8231,0.0003,118
MAPKAPK3,7867,mitogen-activated protein kinase-activated protein kinase 3,MAPKAPK3,-39.8018,0.0003,119
WSCD1,23302,WSC domain containing 1,WSCD1,-39.7133,0.0003,120
GPX4,2879,glutathione peroxidase 4,GPX4,39.61,0.001,121
FBXL7,23194,F-box and leucine-rich repeat protein 7,FBXL7,-39.5639,0.0003,122
TRAPPC3,27095,trafficking protein particle complex 3,TRAPPC3,39.54,0.001,123
ATP2B2,491,"ATPase, Ca++ transporting, plasma membrane 2",ATP2B2,39.53,0.001,124
RGS4,5999,regulator of G-protein signaling 4,RGS4,39.5,0.001,125
MBOAT2,129642,membrane bound O-acyltransferase domain containing 2,MBOAT2,-39.445,0.0003,126
ARSD,414,arylsulfatase D,ARSD,-39.4337,0.0002,127
GLUL,2752,glutamate-ammonia ligase,GLUL,-39.4245,0.0003,128
SDC4,6385,syndecan 4,SDC4,-39.2603,0.0003,129
GADD45G,10912,"growth arrest and DNA-damage-inducible, gamma",GADD45G,-39.2126,0.0003,130
NKTR,4820,natural killer-tumor recognition sequence,NKTR,-39.2008,0.0003,131
ANKRD53,79998,ankyrin repeat domain 53,ANKRD53,-39.1623,0.0002,132
CNOT2,4848,"CCR4-NOT transcription complex, subunit 2",CNOT2,-39.0679,0.0004,133
BMP7,655,bone morphogenetic protein 7,BMP7,-38.9522,0.0004,134
ZNF652,22834,zinc finger protein 652,ZNF652,-38.9233,0.0004,135
PCF11,51585,"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)",PCF11,-38.9096,0.0004,136
AK055981,NA, ,AK055981,-38.8783,0.0004,137
MYO10,4651,myosin X,MYO10,-38.8438,0.0004,138
RYK,6259,receptor-like tyrosine kinase,RYK,-38.8131,0.0004,139
PLPP3,8613,phosphatidic acid phosphatase type 2B,PPAP2B,-38.7301,0.0004,140
SLC8A1,6546,"solute carrier family 8 (sodium/calcium exchanger), member 1",SLC8A1,38.65,0.0004,141
CLCA2,9635,chloride channel accessory 2,CLCA2,-38.6464,0.0004,142
SPN,6693,sialophorin,SPN,-38.5921,0.0004,143
EMID1,129080,EMI domain containing 1,EMID1,-38.5875,0.0004,144
SLC4A4,8671,"solute carrier family 4, sodium bicarbonate cotransporter, member 4",SLC4A4,-38.5533,0.0004,145
ITGA6,3655,"integrin, alpha 6",ITGA6,-38.5321,0.0004,146
GABRA5,2558,"gamma-aminobutyric acid (GABA) A receptor, alpha 5",GABRA5,38.51,0.0004,147
DNAH9,1770,"dynein, axonemal, heavy chain 9",DNAH9,-38.465,0.0004,148
SLC26A1,10861,"solute carrier family 26 (sulfate transporter), member 1",SLC26A1,-38.385,0.0002,149
RAMP1,10267,receptor (G protein-coupled) activity modifying protein 1,RAMP1,-38.2264,0.0004,150
TUBB2B,347733,"tubulin, beta 2B class IIb",TUBB2B,-38.2236,0.0004,151
EMX2,2018,empty spiracles homeobox 2,EMX2,-38.1866,0.0004,152
SORBS3,10174,sorbin and SH3 domain containing 3,SORBS3,-38.1317,0.0005,153
DARS,1615,aspartyl-tRNA synthetase,DARS,-38.1265,0.0005,154
PER1,5187,period homolog 1 (Drosophila),PER1,-38.1218,0.0005,155
RIN2,54453,Ras and Rab interactor 2,RIN2,-38.0452,0.0005,156
TCF3,6929,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),TCF3,-37.9458,0.0005,157
PPP2R5A,5525,"protein phosphatase 2, regulatory subunit B', alpha",PPP2R5A,-37.9152,0.0005,158
PLOD2,5352,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2",PLOD2,-37.8698,0.0005,159
ALDH9A1,223,"aldehyde dehydrogenase 9 family, member A1",ALDH9A1,-37.7614,0.0005,160
CSPG4,1464,chondroitin sulfate proteoglycan 4,CSPG4,-37.7407,0.0005,161
RRBP1,6238,ribosome binding protein 1 homolog 180kDa (dog),RRBP1,-37.6474,0.0005,162
SLC1A3,6507,"solute carrier family 1 (glial high affinity glutamate transporter), member 3",SLC1A3,-37.5676,0.0005,163
ELOVL2,54898,ELOVL fatty acid elongase 2,ELOVL2,-37.4963,0.0005,164
NTRK2,4915,"neurotrophic tyrosine kinase, receptor, type 2",NTRK2,-37.4919,0.0005,165
FARP1,10160,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)",FARP1,-37.4864,0.0005,166
SNCAIP,9627,"synuclein, alpha interacting protein",SNCAIP,-37.4509,0.0002,167
YIPF6,286451,"Yip1 domain family, member 6",U79272,-37.3825,0.0005,168
AQP4,361,aquaporin 4,AQP4,-37.3778,0.0005,169
MMP28,79148,matrix metallopeptidase 28,MMP28,-37.3753,0.0002,170
ID4,3400,"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein",ID4,-37.3695,0.0002,171
RHBDD3,25807,rhomboid domain containing 3,RHBDD3,-37.3599,0.0005,172
PCDH1,5097,protocadherin 1,PCDH1,-37.3548,0.0005,173
PLA2G5,5322,"phospholipase A2, group V",PLA2G5,-37.3545,0.0005,174
WWOX,51741,WW domain containing oxidoreductase,WWOX,-37.3347,0.0005,175
SWAP70,23075,SWAP switching B-cell complex 70kDa subunit,SWAP70,-37.3112,0.0005,176
TMEM47,83604,transmembrane protein 47,TMEM47,-37.284,0.0005,177
SLC14A1,6563,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",SLC14A1,-37.2809,0.0005,178
UNG,7374,uracil-DNA glycosylase,UNG,-37.2564,0.0002,179
SOX9,6662,SRY (sex determining region Y)-box 9,SOX9,-37.2264,0.0005,180
PHKA1,5255,"phosphorylase kinase, alpha 1 (muscle)",PHKA1,-37.1203,0.0006,181
HIST1H1C,3006,"histone cluster 1, H1c",HIST1H1C,-37.0637,0.0006,182
