Symbol,Fold Change,P-Value,Rank
PGRMC1,1.1184,9.51E-61,159
CPE,1.1176,1.79E-48,160
TBR1,1.1176,3.98E-160,161
ZNF385D,1.1167,9.02E-37,162
PCDH10,1.1166,4.98E-79,163
RP11-430H10.4,1.1162,1.18E-36,164
SFMBT2,1.1158,3.59E-80,165
TSPYL4,1.1156,5.13E-43,166
ATP6AP2,1.1155,3.88E-78,167
SORCS2,1.1149,1.24E-59,168
INPP5F,1.1149,4.47E-96,169
PPP2CA,1.1144,9.44E-118,170
SPINT2,1.1142,1.70E-195,171
FLRT3,1.114,2.00E-91,172
CHST11,1.114,8.81E-88,173
SPARCL1,1.1135,4.17E-38,174
PEBP1,1.1134,1.20E-27,175
TUBA1A,1.1134,1.78E-33,176
GRIK1,1.1134,5.59E-08,177
SCOC,1.1132,4.04E-92,178
SLC22A17,1.1131,6.78E-137,179
ATP6V0E2,1.1126,6.65E-48,180
FKBP1A,1.1124,3.65E-101,181
ST18,1.1122,6.95E-72,182
CXXC5,1.1118,6.62E-64,183
ATP6V0B,1.1118,6.29E-92,184
NR4A2,1.1117,1.10E-61,185
GABRG1,1.1117,7.15E-40,186
SYT5,1.1112,3.24E-155,187
EEF2,1.1111,1.03E-137,188
SYT4,1.111,1.68E-53,189
ST3GAL6,1.1109,6.55E-107,190
SDK2,1.1101,2.14E-115,191
HS3ST2,1.11,3.04E-66,192
ITM2C,1.1097,2.04E-60,193
LRPAP1,1.1094,1.80E-134,194
RAD21,1.1094,8.83E-101,195
PCSK1N,1.1092,9.49E-34,196
SMOC2,1.1091,2.14E-42,197
IGFBP5,1.109,1.03E-117,198
PPA1,1.1089,2.84E-233,199
SMARCD3,1.1087,1.42E-125,200
SLC1A6,1.1087,1.06E-170,201
KCNG1,1.1087,1.10E-203,202
KCNIP3,1.1087,1.01E-160,203
CARTPT,1.1086,4.04E-158,204
NRN1,1.1085,2.19E-80,205
AFF2,1.1081,4.31E-99,206
DIRAS2,1.1079,2.75E-73,207
BRINP3,1.1074,7.33E-27,208
CDH13,1.1072,1.98E-60,209
IFI6,1.1069,1.06E-136,210
NEUROD1,1.1068,3.94E-123,211
CCT7,1.1067,6.08E-172,212
DNAJA1,1.1067,1.53E-50,213
TPI1,1.1067,5.51E-152,214
PNMAL1,1.1065,2.01E-50,215
NDUFC2,1.1065,1.85E-129,216
OLFM1,1.1063,3.02E-07,217
ITPR1,1.1061,2.00E-53,218
ENO2,1.1061,2.43E-43,219
SYT13,1.1061,7.80E-81,220
RAB3A,1.106,2.33E-106,221
GFRA1,1.106,1.74E-130,222
NRP2,1.1057,1.06E-81,223
HS3ST5,1.1055,4.67E-19,224
TUBA4A,1.1048,1.89E-111,225
SV2C,1.1048,7.93E-27,226
CBLB,1.1046,2.67E-28,227
GPR63,1.1045,1.39E-138,228
PTCHD4,1.1045,5.18E-20,229
NDN,1.1041,3.68E-106,230
TUBB4A,1.1041,3.96E-91,231
GAREM1,1.1038,1.93E-40,232
B4GAT1,1.1037,9.42E-86,233
CDK5R1,1.1037,7.94E-31,234
NCDN,1.1037,9.95E-16,235
CYTH3,1.1035,3.29E-44,236
TMEM132A,1.1033,2.31E-108,237
AP2M1,1.1032,8.98E-110,238
RP11-707A18.1,1.1032,1.09E-54,239
EPHA3,1.1026,1.23E-88,240
RP11-260O18.1,1.1026,2.44E-130,241
GRINA,1.1024,1.74E-112,242
TCERG1L,1.1023,4.25E-70,243
MPPED1,1.1023,1.47E-27,244
MYO1B,1.102,2.03E-135,245
GOT1,1.102,5.16E-143,246
NTNG2,1.1018,2.30E-145,247
CCND2,1.1015,1.98E-137,248
NTF3,1.1015,3.38E-44,249
TIMP2,1.1015,2.57E-45,250
RASGRF1,1.1013,1.09E-105,251
RP11-327J17.3,1.1012,2.31E-12,252
PRDM8,1.1012,2.63E-113,253
FAM134B,1.1011,2.72E-80,254
HMGCR,1.101,1.20E-129,255
SUSD1,1.101,1.36E-09,256
PCSK1,1.1008,2.25E-40,257
PODXL,1.1002,6.70E-97,258
MTCH1,1.1,1.21E-110,259
GHITM,1.0995,1.24E-136,260
KIAA2012,1.0987,8.58E-27,261
ATP1A1,1.0987,7.34E-31,262
FAM171B,1.0986,9.21E-72,263
NCALD,1.0986,1.54E-83,264
PSAP,1.0985,2.49E-25,265
WWC1,1.0985,3.22E-102,266
LRRC16A,1.0984,5.06E-11,267
AC007464.1,1.0983,6.41E-20,268
CLU,1.0979,4.26E-21,269
B3GAT2,1.0978,3.53E-26,270
LPL,1.0976,6.00E-100,271
SYT11,1.0973,1.36E-23,272
CALM2,1.0972,8.15E-16,273
NREP,1.0965,3.63E-68,274
NEUROD2,1.0964,4.86E-43,275
TPPP,1.0963,1.46E-77,276
SATB1,1.0962,1.39E-69,277
FAM19A4,1.0957,1.84E-33,278
ADAMTS10,1.0955,2.92E-158,279
ATP5A1,1.0955,9.85E-143,280
HSPA5,1.0954,6.26E-89,281
CCNG2,1.0953,5.76E-118,282
GRIK3,1.0952,1.40E-29,283
IMPAD1,1.0951,1.81E-128,284
LYPD1,1.0951,9.19E-125,285
CNR1,1.0949,7.08E-35,286
MARCKSL1,1.0948,9.80E-56,287
B3GALNT1,1.0948,2.34E-147,288
VWC2L,1.0947,1.69E-15,289
ATXN7L3B,1.0947,7.88E-51,290
ADAMTS3,1.0946,2.52E-75,291
C10orf11,1.0942,6.91E-31,292
GRIP1,1.0941,3.90E-27,293
HPCA,1.094,2.36E-65,294
RP11-495L19.1,1.0939,2.27E-108,295
OPRM1,1.0936,5.17E-70,296
EPHA10,1.0935,1.52E-193,297
SEL1L3,1.0934,1.07E-113,298
FNBP1L,1.0933,2.41E-33,299
DISP2,1.0932,1.32E-109,300
PODXL2,1.0932,5.52E-179,301
PVT1,1.0932,7.28E-09,302
ARPC5L,1.0932,6.38E-134,303
IL6ST,1.0931,2.41E-93,304
SSTR2,1.0926,1.23E-44,305
SLC6A1,1.0926,1.72E-40,306
KIF5A,1.0926,6.26E-69,307
SYTL2,1.0926,2.22E-48,308
ST6GAL2,1.0926,6.18E-63,309
DACH1,1.0925,3.92E-54,310
DOCK11,1.0923,8.81E-18,311
UBQLN2,1.0922,7.07E-54,312
CXADR,1.0919,1.16E-59,313
SYN1,1.0919,4.79E-53,314
ENO1,1.0918,6.21E-110,315
ST8SIA2,1.0918,4.63E-157,316
BZW2,1.0918,3.30E-219,317
SLC8A3,1.0915,3.56E-53,318
CCT5,1.0913,2.03E-126,319
ATP1A3,1.0913,1.68E-112,320
HMGCS1,1.0912,2.64E-107,321
DCTN1,1.0912,2.50E-89,322
RP1-240B8.3,1.091,1.42E-61,323
